time,Area-C left,Area-D left
2019-10-08 20:24:31,130,12
2019-10-08 20:34:31,125,9
2019-10-08 20:44:32,123,5
2019-10-08 20:54:32,118,6
2019-10-08 21:04:33,125,3
2019-10-08 21:14:33,123,6
2019-10-08 21:24:33,120,10
2019-10-08 21:34:34,129,11
2019-10-08 21:44:34,127,14
2019-10-08 21:54:35,141,19
2019-10-08 22:04:35,149,23
2019-10-08 22:14:35,154,26
2019-10-08 22:24:36,157,29
2019-10-08 22:34:36,163,40
2019-10-08 22:44:36,171,45
2019-10-08 22:54:36,189,53
2019-10-08 23:04:37,199,69
2019-10-08 23:14:37,210,80
2019-10-08 23:24:38,218,79
2019-10-08 23:34:38,230,83
2019-10-08 23:44:39,235,95
2019-10-08 23:54:40,241,102
2019-10-09 00:04:41,251,110
2019-10-09 00:14:41,259,116
2019-10-09 00:24:42,264,124
2019-10-09 00:34:42,276,135
2019-10-09 00:44:42,294,145
2019-10-09 00:54:43,320,159
2019-10-09 01:04:43,330,174
2019-10-09 01:14:43,340,184
2019-10-09 01:24:43,355,197
2019-10-09 01:34:44,370,207
2019-10-09 01:44:44,384,220
2019-10-09 01:54:45,392,225
2019-10-09 02:04:45,402,232
2019-10-09 02:14:45,410,241
2019-10-09 02:24:46,416,245
2019-10-09 02:34:47,423,253
2019-10-09 02:44:47,430,259
2019-10-09 02:54:47,432,265
2019-10-09 03:04:48,436,265
2019-10-09 03:14:48,439,269
2019-10-09 03:24:48,444,271
2019-10-09 03:34:49,451,279
2019-10-09 03:44:49,456,279
2019-10-09 03:54:51,464,284
2019-10-09 04:04:51,464,290
2019-10-09 04:14:51,466,292
2019-10-09 04:24:51,470,293
2019-10-09 04:34:52,471,294
2019-10-09 04:44:52,471,295
2019-10-09 04:54:52,471,295
2019-10-09 05:04:53,472,295
2019-10-09 05:14:53,474,296
2019-10-09 05:24:54,475,298
2019-10-09 05:34:54,475,299
2019-10-09 05:44:55,475,300
2019-10-09 05:54:55,476,309
2019-10-09 06:04:55,475,308
2019-10-09 06:14:55,475,308
2019-10-09 06:24:55,475,304
2019-10-09 06:34:56,475,304
2019-10-09 06:44:56,475,302
2019-10-09 06:54:57,474,301
2019-10-09 07:04:57,474,300
2019-10-09 07:14:57,474,299
2019-10-09 07:24:57,474,299
2019-10-09 07:34:58,473,299
2019-10-09 07:44:58,473,299
2019-10-09 07:55:00,472,294
2019-10-09 08:05:00,471,288
2019-10-09 08:15:00,468,285
2019-10-09 08:25:01,467,282
2019-10-09 08:35:01,464,277
2019-10-09 08:45:01,459,265
2019-10-09 08:55:02,458,256
2019-10-09 09:05:02,455,246
2019-10-09 09:15:03,450,237
2019-10-09 09:25:03,446,232
2019-10-09 09:35:04,440,224
2019-10-09 09:45:04,436,216
2019-10-09 09:55:05,433,204
2019-10-09 10:05:05,430,193
2019-10-09 10:15:05,419,185
2019-10-09 10:25:06,411,173
2019-10-09 10:35:06,404,165
2019-10-09 10:45:06,399,156
2019-10-09 10:55:07,392,145
2019-10-09 11:05:07,390,127
2019-10-09 11:15:07,385,116
2019-10-09 11:25:08,379,95
2019-10-09 11:35:08,374,85
2019-10-09 11:45:08,358,71
2019-10-09 11:55:10,341,45
2019-10-09 12:05:10,328,32
2019-10-09 12:15:10,317,12
2019-10-09 12:25:11,310,3
2019-10-09 12:35:11,291,0
2019-10-09 12:45:11,272,0
2019-10-09 12:55:12,250,0
2019-10-09 13:05:13,222,0
2019-10-09 13:15:13,196,0
2019-10-09 13:25:13,172,0
2019-10-09 13:35:14,141,0
2019-10-09 13:45:14,123,0
2019-10-09 13:55:15,104,0
2019-10-09 14:05:15,78,0
2019-10-09 14:15:15,58,0
2019-10-09 14:25:15,38,0
2019-10-09 14:35:16,16,0
2019-10-09 14:45:16,3,0
2019-10-09 14:55:17,0,0
2019-10-09 15:05:17,0,0
2019-10-09 15:15:17,0,0
2019-10-09 15:25:18,1,0
2019-10-09 15:35:18,0,0
2019-10-09 15:45:18,0,0
2019-10-09 15:55:19,0,0
2019-10-09 16:05:20,0,0
2019-10-09 16:15:20,0,0
2019-10-09 16:25:21,1,0
2019-10-09 16:35:21,0,0
2019-10-09 16:45:22,0,0
2019-10-09 16:55:22,3,1
2019-10-09 17:05:23,4,0
2019-10-09 17:15:24,4,1
2019-10-09 17:25:24,5,0
2019-10-09 17:35:25,5,2
2019-10-09 17:45:25,8,2
2019-10-09 17:55:25,6,0
2019-10-09 18:05:26,14,0
2019-10-09 18:15:26,21,0
2019-10-09 18:25:26,19,3
2019-10-09 18:35:27,17,2
2019-10-09 18:45:27,22,5
2019-10-09 18:55:28,36,2
2019-10-09 19:05:28,37,0

2019-10-09 19:15:24,35,0
2019-10-09 19:16:29,36,0
2019-10-09 19:17:34,37,1
2019-10-09 19:18:39,36,1
2019-10-09 19:19:44,37,0
2019-10-09 19:20:50,38,0
2019-10-09 19:21:54,34,0
2019-10-09 19:23:00,31,0
2019-10-09 19:24:05,31,0
2019-10-09 19:25:09,29,0
2019-10-09 19:26:15,27,0
2019-10-09 19:27:20,28,0
2019-10-09 19:28:25,26,0
2019-10-09 19:29:30,26,1
2019-10-09 19:30:35,27,1
2019-10-09 19:31:40,29,1
2019-10-09 19:32:46,28,1
2019-10-09 19:33:51,26,0
2019-10-09 19:34:56,26,1
2019-10-09 19:36:01,29,1
2019-10-09 19:37:06,31,0
2019-10-09 19:38:11,28,0
2019-10-09 19:39:16,28,0
2019-10-09 19:40:21,26,0
